review,rating,place_index
"nhà hàng sạch sẽ , thức ăn ngon , nhân viên vui vẻ nhiệt tình , có pé quản lí xinh sỉu",5,0
"Mình sẽ quay lại vì đồ ăn ngon tuyệt",5,0
"Đồ ăn vừa miệng, nhân viên nhiệt tình, sạch sẽ",5,0
"Rất là thích ăn ở đây, siêu ngon",5,0
"Đồ ăn ngon chỗ ngồi sạch sẽ nhân viên nhiệt tình",5,0
"Nhân viên dễ thương quản lý dễ thương, nói chuyện nhiệt tình vui vẻ cảm ơn rất nhiều",5,0
"KFC siêu tuyệt vời nhân viên và quản lý dễ thương thân thiện 100đ",5,0
"Bé nhân viên có bầu nói chuyện rất lịch sự và vui vẻ với khách hàng! Lúc mình ghé đông nhưng ra món cũng nhanh không đến nổi lâu như trong Aeon....Gà ngon giòn, món khoái khẩu của mình",5,0
"Đồ ăn ngon , món làm nhanh , nhân viên phục vụ nhiệt tình",5,0
"Trải nghiệm quá tuyệt vời, đồ ăn quá ngon🩷🩷🩷🩷🩷🩷🩷",5,0
"Đu, Bạn Nhân Viên Nguyễn Quốc Truyền ( Cu Bi) Hoạt Bát Nhanh Nhẹn Hỗ Trợ Kịp Thời Nhu Cầu Khách Hàng, Vote Bạn 5 Sao.",5,0
"Nhân viên nhiệt tình, chu đáo.",5,0
"Đồ ăn ngonn. Không gian sạch sẽ. Nhân viên nhiệt tình.",5,0
"Phục vụ tốt rất hài lòng",5,0
"Gọi gà nướng, bắt ngồi chờ 20’ để lấy gà nướng xong mang về mở ra là gà rán :) đau răng k ăn được phải bỏ, lần cuối đi ở đây nhé",1,0
"Trải nghiệm tuyệt vời vào 1 buổi trưa nóng bức",5,0
"Đồ ăn ngon, gà rán bên ngoài giòn trong mềm, nhân viên nhiệt tình dễ thương.",5,0
"So good, có món bánh trứng mới ngon , 61 k 4 cái",5,0
"Thanh gà trong combo mới quá dở, đừng ai gọi nhé, ăn nhiều gà đã ngắn tặng cho 2 thanh gà khô khốc cứng ngắc, ai duyệt món này z trời",2,0
"Gà ngon!!!! Tuyệt vời!!!!!! Không gian  sạch sẽ, phục vụ cực kì tốt",5,0
"Gà rán ngon ! Luôn luôn ủng hộ",5,0
"Chị quản lý xinh quá có bồ chưa nhờ mong được trả lời ạ",5,0
"Nv thân thiện, ko gian quán ok",5,0
"Đặt hàng trên Shopee food nhưng làm thiếu món, liên hệ complain để được hỗ trợ thì nói đợi check đơn nhưng hơn 30p mới giao lại món. Đói mà phải đợi lâu hết muốn ăn, nên xem lại cách training của cửa hàng.",1,0
"Nhân viên nhiệt tình dễ thương xinh đẹp",5,0
"Dịch vụ rất tốt , cô quản lý xinh đẹp dễ thương.",5,0
"Gà ngon, mình rất thích nhân viên ở đây, nhiệt tình, nên ghé ủng hộ cửa hàng",5,0
"Làm ăn cà chớn, đã đặt từ sáng sớm, còn gọi điện lên tổng đài xác nhận lại. Cuối cùng sát h giao hàng lại nói là k đủ món mình đặt, nhờ chuyển qua món khác. Sợ lunz",1,0
"Làm ăn tệ hại,bỏ tiền ra mua mà không có món mình thich,đặt đùi thi  luôn bán cánh và má đùi ga,không bao giờ khach hỏi có đùi gà,làm ăn kiểu lợi nhuận bố láo,1cửa hàng gà rán không nên ghé,1 cái quán rất nhiều nguời chê nhưng giờ mới trải nghiệm.",1,0
"Bé thu ngân dễ thương , đáng iu , xứng đáng triệu ngôi saoooo",5,0
"Quản lý siêu dễ thương ❤️, nhân viên thân thiện. Amazing !!",5,0
"Quản lí dễ thương nhân viên nhiệt tình nơi đáng để trãi nghiệm",5,0
"Thái độ nhân viên bạn nữ khi mình muốn tư vấn thì thái độ ko nhiệt tình, trả lời qua loa, nếu mệt mỏi thì có thể nghỉ ở nhà còn nếu đã đi làm rồi, nhất là ngành dịch vụ thì dẹp ngay cái thái độ đó với KH. Sẽ không quay lại CN này 1 lần nào nữa. Tối 20h Ngày 11/04/2024",1,0
"các bạn nhân viên ở đây thân thiện, sản phẩm luôn nóng giòn, tôi thích ăn gà giòn cay ở đây, gà to ngon",5,0
"Nhân viên nhiệt tình, gà cay quá ngon, tuyệt vời, sẽ quay lại KFC Phan Huy Ích vào time tới",5,0
"Mấy cháu nhân viên rất ngoan ngoãn dễ thương, bé nhân viên rất nhiệt tình giúp đỡ tôi",5,0
"Nhân viên nhiệt tình nên cảm giác ăn rất ngon",5,0
"Nhân viên cười rất tươi, đặt biệt là bạn đeo kính, bạn rất niềm nở và nhiệt tình, đồ ăn ngon, đánh giá 5 sao",5,0
"Nv  vui tính thân thiện, XINH",5,0
"Nhân viên ăn nói mất dạy bố láo, nạt nộ khách hàng, thái độ không tôn trọng khác hàng khi tui order đồ ăn vào lúc 21:20 01/05/2024",1,0
"Đồ ăn ngon bác bảo vệ thân thiện nhưng thái độ phục của bạn oder bạn đeo kính rất khó chịu nhé 🙂",2,0
"Nhân viên và cả chị quản lý trông nhiều năng lượng, vui vẻ, hoạt bát.",5,0
"Gà rán bên này ổn, các bạn nhân viên nhiệt tình chu đoá",5,0
"Nhân viên nhiệt tình ,không gian đẹp",5,0
"Không gian thoáng mát nhân viên nhiệt tình",5,0
"Gà ngon, nhân viên thân thiện",5,0
"So với các chi nhánh xung quanh thì ở đây mình cảm thấy mọi thứ đều vượt trội hơn. Gà rán giòn, nóng, trong mọng nước; Burger vừa ăn, không bị nguội, không bị xìu nhưng các quán khác. Bạn ship đồ ăn nói chuyện nhỏ nhẹ, dễ thương. Nói chung là không có điểm gì làm mình không hài lòng cả. Cảm ơn quán đã cho mình 1 bữa trưa thật hoàn hảo.",5,0
"Mua cho mấy đứa em ăn, tụi nó khen ngon",4,0
"Phục vụ nhiệt tình, làm món nhanh. Điểm trừ là không gian hơi nhỏ nên các bé khó chạy nhảy và không có thanh toán momo hay chuyển khoản.",4,0
"Chị su Thanh Nhi dthw xĩu, chị train rất nhiệt tình",5,0
"Nhân viên dễ thương😍",5,0
"Quán ok",5,0
"Nhân viên thân thiện nhiệt tình, môi trường sạch sẽ",5,0
"Lần thứ 3 mua hàng tại cửa hàng mình đều nhận lại thái độ phục vụ quá tệ của nhân viên!!Không nói về việc chờ đợi nhưng khách hàng order khi hỏi tới chương trình khuyến mãi của Kfc thì tỏ ra thái độ thẩy menu cho khách tự chọn!!Phục vụ quá tệ,nếu như k tiện đường mình đi làm vè thì sẽ không bao giờ ghé lần thứ 3 như vậy",1,0
"Đặt grab mua milo thì hộp milo bị hở rỉ sữa ???",1,0
"Ăn ngon, mát mẻ",5,0
"Nhân viên nhiệt tình, vui vẻ",5,0
"NH sạch sẽ, không gian quán đẹp, đồ ăn ngon đảm bảo chất lượng 👍👍",5,0
"Đồ ăn ngon số 1, cho chưa ăn nên ghé 1 lần. KFC SO GOOD!!!!",5,0
"Không gian hơi nhỏ Còn lại ok",5,0
"Thời gian chờ lâu, ord dặn 2 miếng ức nhưng chờ xong thì lại đem ra 1 ức 1 đùi.",1,0
"Gà ngon như nyc v",5,0
"Đồ ăn ngon tuyệt",5,0
"Nhân viên thân thiện",5,0
